"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"114","Haiti","3",2021-11-14,"Cumulative percent infected","2","Percent","29.6","9.0","49.0"
"115","Jamaica","3",2021-11-14,"Cumulative percent infected","2","Percent","20.6","10.5","31.6"
"385","Puerto Rico","3",2021-11-14,"Cumulative percent infected","2","Percent","12.6","9.8","16.1"
"393","Saint Kitts and Nevis","3",2021-11-14,"Cumulative percent infected","2","Percent","8.8","4.4","17.7"
"116","Saint Lucia","3",2021-11-14,"Cumulative percent infected","2","Percent","24.3","12.9","39.2"
"117","Saint Vincent and the Grenadines","3",2021-11-14,"Cumulative percent infected","2","Percent","16.5","9.0","26.6"
"118","Suriname","3",2021-11-14,"Cumulative percent infected","2","Percent","52.1","26.5","78.4"
"119","Trinidad and Tobago","3",2021-11-14,"Cumulative percent infected","2","Percent","25.1","11.9","40.0"
"422","Virgin Islands","3",2021-11-14,"Cumulative percent infected","2","Percent","23.4","12.0","39.1"
"124","Central Latin America","2",2021-11-14,"Cumulative percent infected","2","Percent","59.1","52.2","65.9"
"125","Colombia","3",2021-11-14,"Cumulative percent infected","2","Percent","45.2","35.3","54.1"
"126","Costa Rica","3",2021-11-14,"Cumulative percent infected","2","Percent","44.6","28.9","60.9"
"127","El Salvador","3",2021-11-14,"Cumulative percent infected","2","Percent","36.0","23.6","49.4"
"128","Guatemala","3",2021-11-14,"Cumulative percent infected","2","Percent","62.8","44.8","81.9"
"129","Honduras","3",2021-11-14,"Cumulative percent infected","2","Percent","81.4","66.4","91.7"
"130","Mexico","3",2021-11-14,"Cumulative percent infected","2","Percent","65.7","61.1","70.8"
"4643","Aguascalientes","4",2021-11-14,"Cumulative percent infected","2","Percent","51.2","26.7","70.0"
"4644","Baja California","4",2021-11-14,"Cumulative percent infected","2","Percent","79.2","59.4","89.4"
"4645","Baja California Sur","4",2021-11-14,"Cumulative percent infected","2","Percent","70.5","48.6","88.6"
"4646","Campeche","4",2021-11-14,"Cumulative percent infected","2","Percent","56.2","40.1","78.6"
"4649","Chiapas","4",2021-11-14,"Cumulative percent infected","2","Percent","37.1","21.9","55.6"
"4650","Chihuahua","4",2021-11-14,"Cumulative percent infected","2","Percent","41.5","15.7","76.0"
"4647","Coahuila","4",2021-11-14,"Cumulative percent infected","2","Percent","80.4","60.4","92.1"
"4648","Colima","4",2021-11-14,"Cumulative percent infected","2","Percent","47.8","28.8","69.7"
"4652","Durango","4",2021-11-14,"Cumulative percent infected","2","Percent","73.2","46.6","90.6"
"4653","Guanajuato","4",2021-11-14,"Cumulative percent infected","2","Percent","78.2","57.9","92.1"
"4654","Guerrero","4",2021-11-14,"Cumulative percent infected","2","Percent","50.6","41.9","59.0"
"4655","Hidalgo","4",2021-11-14,"Cumulative percent infected","2","Percent","75.4","55.7","89.4"
"4656","Jalisco","4",2021-11-14,"Cumulative percent infected","2","Percent","56.0","42.5","71.6"
"4657","México","4",2021-11-14,"Cumulative percent infected","2","Percent","69.9","55.0","82.7"
"4651","Mexico City","4",2021-11-14,"Cumulative percent infected","2","Percent","83.5","71.3","89.1"
"4658","Michoacán de Ocampo","4",2021-11-14,"Cumulative percent infected","2","Percent","46.5","36.0","59.4"
"4659","Morelos","4",2021-11-14,"Cumulative percent infected","2","Percent","69.0","48.9","90.8"
"4660","Nayarit","4",2021-11-14,"Cumulative percent infected","2","Percent","54.0","38.1","75.3"
"4661","Nuevo León","4",2021-11-14,"Cumulative percent infected","2","Percent","76.0","62.3","84.9"
"4662","Oaxaca","4",2021-11-14,"Cumulative percent infected","2","Percent","47.2","34.2","58.7"
"4663","Puebla","4",2021-11-14,"Cumulative percent infected","2","Percent","78.0","62.4","88.2"
"4664","Querétaro","4",2021-11-14,"Cumulative percent infected","2","Percent","48.0","17.8","80.8"
"4665","Quintana Roo","4",2021-11-14,"Cumulative percent infected","2","Percent","82.6","66.5","91.0"
"4666","San Luis Potosí","4",2021-11-14,"Cumulative percent infected","2","Percent","55.6","41.8","69.4"
"4667","Sinaloa","4",2021-11-14,"Cumulative percent infected","2","Percent","72.8","54.5","86.4"
"4668","Sonora","4",2021-11-14,"Cumulative percent infected","2","Percent","74.4","60.8","85.3"
"4669","Tabasco","4",2021-11-14,"Cumulative percent infected","2","Percent","79.3","61.5","88.9"
"4670","Tamaulipas","4",2021-11-14,"Cumulative percent infected","2","Percent","63.6","46.6","80.7"
"4671","Tlaxcala","4",2021-11-14,"Cumulative percent infected","2","Percent","73.8","57.7","89.9"
"4672","Veracruz de Ignacio de la Llave","4",2021-11-14,"Cumulative percent infected","2","Percent","60.8","43.8","76.6"
"4673","Yucatán","4",2021-11-14,"Cumulative percent infected","2","Percent","82.2","57.4","91.7"
"4674","Zacatecas","4",2021-11-14,"Cumulative percent infected","2","Percent","53.6","34.7","73.0"
"131","Nicaragua","3",2021-11-14,"Cumulative percent infected","2","Percent","55.4","46.1","63.5"
"132","Panama","3",2021-11-14,"Cumulative percent infected","2","Percent","40.5","31.4","51.1"
"133","Venezuela","3",2021-11-14,"Cumulative percent infected","2","Percent","54.3","45.1","62.7"
"134","Tropical Latin America","2",2021-11-14,"Cumulative percent infected","2","Percent","59.2","50.1","68.1"
"135","Brazil","3",2021-11-14,"Cumulative percent infected","2","Percent","59.0","50.0","68.1"
"4750","Acre","4",2021-11-14,"Cumulative percent infected","2","Percent","49.8","31.9","69.2"
"4751","Alagoas","4",2021-11-14,"Cumulative percent infected","2","Percent","52.8","28.1","77.5"
"4753","Amapá","4",2021-11-14,"Cumulative percent infected","2","Percent","68.1","51.3","82.2"
"4752","Amazonas","4",2021-11-14,"Cumulative percent infected","2","Percent","67.7","48.7","86.2"
"4754","Bahia","4",2021-11-14,"Cumulative percent infected","2","Percent","59.7","37.4","77.1"
"4755","Ceará","4",2021-11-14,"Cumulative percent infected","2","Percent","68.5","52.4","85.7"
"4756","Distrito Federal","4",2021-11-14,"Cumulative percent infected","2","Percent","51.5","25.8","91.3"
"4757","Espírito Santo","4",2021-11-14,"Cumulative percent infected","2","Percent","64.2","45.8","81.8"
"4758","Goiás","4",2021-11-14,"Cumulative percent infected","2","Percent","78.0","63.4","86.1"
"4759","Maranhão","4",2021-11-14,"Cumulative percent infected","2","Percent","67.1","26.1","90.6"
"4762","Mato Grosso","4",2021-11-14,"Cumulative percent infected","2","Percent","70.2","55.5","84.7"
"4761","Mato Grosso do Sul","4",2021-11-14,"Cumulative percent infected","2","Percent","60.5","37.0","80.8"
"4760","Minas Gerais","4",2021-11-14,"Cumulative percent infected","2","Percent","75.4","53.8","93.2"
"4763","Pará","4",2021-11-14,"Cumulative percent infected","2","Percent","57.9","34.7","76.4"
"4764","Paraíba","4",2021-11-14,"Cumulative percent infected","2","Percent","65.0","42.2","85.7"
"4765","Paraná","4",2021-11-14,"Cumulative percent infected","2","Percent","57.9","45.5","70.2"
"4766","Pernambuco","4",2021-11-14,"Cumulative percent infected","2","Percent","45.6","30.6","57.8"
"4767","Piauí","4",2021-11-14,"Cumulative percent infected","2","Percent","62.6","38.1","80.4"
"4768","Rio de Janeiro","4",2021-11-14,"Cumulative percent infected","2","Percent","46.0","34.3","58.8"
"4769","Rio Grande do Norte","4",2021-11-14,"Cumulative percent infected","2","Percent","47.8","37.1","59.1"
